sentence,top_match_0,top_match_1,top_match_2,top_match_3,top_match_4,similarity_0,similarity_1,similarity_2,similarity_3,similarity_4
"15.c Enhance global support for efforts to combat poaching and trafficking of protected species, including by increasing the capacity of local communities to pursue sustainable livelihood opportunities ",Encourage new investments,"Funding for smart city projects (public/private finance, crowdsourced, etc.)",ICT-enabled innovation leading to new businesses and market opportunities,Number of officers engaged in biodiversity conservation strategies,Using smart solutions to enhance accessibility to services and amenities,"1,0233","0,9506","0,9434","0,6072","0,5678"
" Goal 16. Promote peaceful and inclusive societies for sustainable development, provide access to justice for all and build effective, accountable and inclusive institutions at all levels ",Using smart solutions to enhance accessibility to services and amenities,-National Accessibility,"Strategies and infrastructure for timely data communication, sharing, and reporting",Adaptation for social inclusion,Comfortable use,"1,2002","0,9514","0,6896","0,5958","0,5930"
16.1 Significantly reduce all forms of violence and related death rates everywhere ,Light pollution Reduction,Diminish the negative visual impacts of forestry operation,Mortality rate of disasters,% reduction of CO2 emissions,Population18 with less than high school,"0,5516","0,5428","0,5218","0,5101","0,4798"
"16.2 End abuse, exploitation, trafficking and all forms of violence against and torture of children ",Young offenders under 20 years of age,% reduction of CO2 emissions,Children's Health,Number and visibility of disturbing elements and objects,Light pollution Reduction,"0,5548","0,5234","0,5192","0,4945","0,4922"
16.3 Promote the rule of law at the national and international levels and ensure equal access to justice for all ,Google hits for the string city name & climate change & heatwave (hits per million inhabitants),Number of days ozone O3 concentrations exceed 120 μg/m3,Google hits for the string city name & climate change & urban heat island (hits per million inhabitants),Intelligent and transparent procurement and bidding systems,Transparent governance/Efficient and transparent administration,"0,4932","0,4811","0,4511","0,4423","0,4222"
"16.4 By 2030, significantly reduce illicit financial and arms flows, strengthen the recovery and return of stolen assets and combat all forms of organized crime ",Castles,Provision for Universal Accessibility,Car sharing supply,Intelligent and transparent procurement and bidding systems,ECONOMIC EFFICIENCY.,"1,6269","1,3566","1,2883","0,9602","0,9520"
16.5 Substantially reduce corruption and bribery in all their forms ,Intelligent and transparent procurement and bidding systems,"Member-economic Accessibility to Digital Technologies, ICT Affordability",Light pollution Reduction,Income gap between the richest and poorest,% reduction of CO2 emissions,"0,5329","0,5222","0,4788","0,4658","0,4613"
"16.6 Develop effective, accountable and transparent institutions at all levels ",Transparent governance/Efficient and transparent administration,Process transparency,Strong leadership promoting innovation and smart solutions,Air quality improvement,Commodifcation,"0,5867","0,5630","0,5612","0,5395","0,5360"
"16.7 Ensure responsive, inclusive, participatory and representative decision making at all levels ",Meeting points,Public participation and stakeholder engagement in decision making,Participatory master plan,Stakeholder consultation,Consultation and Engagement,"1,0422","0,8102","0,7759","0,7757","0,6189"
16.8 Broaden and strengthen the participation of developing countries in the institutions of global governance ,Adaptation for social inclusion,Opportunity for higher education,Effect on area revitalization/development,Promotion and education in Past Identities programmes and spaces,Education and Awareness,"0,6818","0,6567","0,6072","0,5737","0,5718"
"16.9 By 2030, provide legal identity for all, including birth registration ",Castles,Annual average concentration of PM10 (g/m3),Noise,Government's response to the request for information,Place Identity,"1,4722","1,4395","1,3622","0,9290","0,5392"
"16.10 Ensure public access to information and protect fundamental freedoms, in accordance with national legislation and international agreements ",Shared architecture for multi-level governance and inter-agency collaboration,Participation and Partnership,Participatory master plan,Provision for Universal Accessibility,Integrated planning between all departments,"0,6634","0,6357","0,6027","0,5629","0,5485"
"16.a Strengthen relevant national institutions, including through international cooperation, for building capacity at all levels, in particular in developing countries, to prevent violence and combat terrorism and crime ",Built,Institutional Capacity,Infrastructure networks,"Strategies and infrastructure for timely data communication, sharing, and reporting",Crime Prevention,"1,4069","1,3084","1,0875","1,0774","0,8029"
16.b Promote and enforce non discriminatory laws and policies for sustainable development ,Existence of a Local Biodiversity Strategy and Action Plan,"Policies, programs, and plans for promoting entrepreneurship, creativity/innovation","Policies, programs, and plans for promoting entrepreneurship",Satisfaction with safety as a cyclist,Cleanliness and Improvements,"0,5157","0,4735","0,4608","0,4436","0,4335"
 Goal 17. Strengthen the means of implementation and revitalize the Global Partnership for Sustainable Development ,Events successfully implemented and evaluated,"Strategies and infrastructure for timely data communication, sharing, and reporting",Shared architecture for multi-level governance and inter-agency collaboration,Strong leadership promoting innovation and smart solutions,Effect on area revitalization/development,"0,6397","0,6284","0,6239","0,6067","0,6055"
