indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Area of parks & open space,5.0544577,-2.6126378,6.306275,-11.5541115,3.5982282,-4.7056623,-0.9427124,6.911701,-4.361832,1.7713245,-3.192597,1.9078931,-3.8900728,2.1291475,0.663049,1.5784042,-1.227932,-3.0666342,0.808522,-1.2753303,1.9952992,-0.2015327,-0.46471643,3.0428925,-0.8048906,-0.30798453,0.6741185,-0.3667916,-0.39730704,-3.487325,2.3524947,0.928146,1.7566285,-0.18049105,2.5245504,0.84360987,-1.64888,1.4085248,-0.3462884,0.37255615,1.9275028,-1.912059,1.741992,-0.80703473,-1.1035285,-0.9090332,1.5109266,-2.8598616,-0.34951952,-0.33985186,-2.010826,-0.16572529
Safe playing and recreation equipment,6.683408,1.553591,-0.32499114,-4.5610476,9.335041,0.6118767,5.1214175,-0.53071797,-1.8431028,2.9953408,5.886928,1.1458826,-4.591288,-2.5408149,-0.5185893,2.7074132,-3.2263618,-6.9038067,-1.0159075,1.4472964,4.7917395,-1.8839886,-2.2959707,-3.6390345,0.586974,3.1927023,-0.24682847,-0.58226156,-2.7643096,1.254073,3.8143835,-3.1984477,0.81760186,1.1020166,-1.9906721,-1.715482,-2.6961668,0.5061722,-0.08314848,-0.032873303,-1.9051422,-2.755507,-2.044045,0.6030824,2.3221428,1.162888,1.128756,-0.07714698,-1.1885172,2.3266282,0.36704332,0.49054372
Risk reduction and control programs,6.1529493,-1.2413205,-7.6959257,0.21872784,3.655851,-1.045013,6.3797855,-2.3802304,0.13478488,1.5554383,0.21781537,1.6206127,0.6548069,1.4427956,-5.2891455,-2.0710459,-0.027242064,-1.3393943,0.8447535,6.9142284,-0.14235142,1.5421829,3.8312244,0.68402016,-1.6199858,1.7967317,-3.4639163,3.578191,2.0860357,-0.33622295,3.167733,-3.4842894,-0.11547181,0.7485944,2.8212752,-3.1143322,-0.7066651,1.1144905,0.92776173,0.7329217,-0.6332921,-1.6887194,1.8376325,-2.3632488,1.8491333,0.88002294,-2.7185776,0.16376692,-1.5839294,-1.9191941,-1.3807769,-0.26072788
Presence of SD strategies,-0.70680666,2.0146508,0.55249286,0.54316103,-2.0554125,-3.031571,1.8267832,-1.5479643,0.54471636,0.27092052,2.2137997,-0.28741497,-0.12365156,-0.08790094,1.7712493,-7.153863,-1.6125988,-4.2854433,-1.1195529,3.457368,0.3186911,-4.238555,-0.17369719,-2.4792151,-0.9381448,4.024948,2.3170016,0.73385113,1.1484511,4.786982,5.4218416,-4.227732,1.1174794,-6.2030745,0.13011572,0.79251456,0.2721026,2.7857323,4.6434007,-0.32978827,1.2549132,4.29825,-0.49827582,0.5046978,2.0390368,-2.3681297,0.79288983,-0.39754257,-0.20082356,-1.2270365,-2.2824445,0.28702557
Public facilities and spaces,-3.3096051,-5.3810034,0.10135236,-6.044148,2.731034,-2.2062163,-6.281133,0.5941826,-4.1013093,4.0601077,1.0220075,-0.45675975,-4.158211,3.604424,-1.5761034,3.3293521,-0.87876517,1.2336215,-0.82003975,-4.2503633,-0.5506818,-0.7375131,1.0164373,2.6191833,-2.5650117,0.12834437,-0.76018304,1.6987133,-1.9609329,-1.7387074,1.4659526,-0.6543007,-0.24109112,2.0577338,0.031062573,1.5202599,-1.1005039,3.250399,0.6219651,0.69498944,-0.36264923,0.10615608,-1.1113393,2.9906938,-0.74131835,-1.0060258,-0.9112652,0.49466416,-2.0539882,1.6956824,1.4795665,1.1927934
Meeting points,-2.9635367,-7.0511208,-4.1165724,2.4374597,0.144609,-6.412121,0.6425815,-1.1575664,-0.9120803,-1.4684734,-0.104804516,-0.078640044,0.7014116,-3.813968,3.6773338,-2.1836803,1.003398,-2.0334089,1.8875341,1.4584173,-2.616754,-3.5315504,2.283607,5.4708433,-0.72559756,3.677168,2.5810466,0.21146634,-0.24188164,0.884218,-1.2023096,0.34431556,-0.43153757,3.6008635,-0.0815388,-0.10892695,7.684319,4.4481764,-3.0014439,-1.6758553,0.7480054,-2.540098,1.000515,2.3895082,-2.050745,1.2660174,0.13892409,-2.0041509,1.5245844,-0.68285346,1.016393,-0.7959058
Risk of natural disasters,7.097767,4.300176,1.9207073,-4.592701,4.1299562,1.904844,3.6281357,0.62581384,-0.4929878,0.0053108186,1.8204925,0.40729707,5.6535625,2.6064904,-7.5257707,0.11911765,-1.8856493,-6.2161903,0.5599449,-0.37487715,3.6735067,-3.4934585,0.28700063,-2.2453861,0.86451364,-2.1226861,-1.9279454,2.0382729,1.7196498,-0.24904135,-2.1567311,4.2561455,0.1717954,1.9798386,0.03261857,-3.0958219,-2.3293195,1.6318487,3.4074283,-2.1211586,1.2338495,-5.820593,-0.9636223,-0.82600373,-0.9860596,0.71346813,0.66441333,5.772415,0.56196773,0.49012575,-1.6151688,-1.0974929
"Number of livestock, herds or farm animals",-0.63993806,3.1640704,1.9861151,6.8396387,-2.474381,-4.5067163,8.241588,-0.492154,-2.824539,-1.6205363,-1.3475695,7.8361316,1.423785,-0.2619158,1.406551,4.80906,-6.690943,-1.481565,-3.388677,-2.410485,-2.281291,6.6362815,-3.1713011,1.8441226,-1.8348942,1.0429597,6.507825,-0.37142822,1.7707043,0.3420177,2.6767771,3.1226087,-3.5249922,-2.839319,2.047214,-2.1767383,-3.2143016,1.7398441,4.947612,2.5959983,-1.3703367,-0.322064,2.6629014,-2.1072721,-1.6750075,0.87695736,1.7762446,-3.8275008,0.15771556,-2.3411317,3.8347805,-0.9928152
Access to improved water sources,1.7345309,5.0958242,-9.193344,-2.676643,2.040806,-0.25743774,-6.8630724,-6.569353,-3.023713,4.324704,-4.5555563,0.9643452,5.1416693,4.7029114,1.9156116,-1.577583,0.25729564,-3.5178118,-0.7845845,0.21482992,-0.47090533,2.9267123,-0.9962436,-0.8123354,-1.7744911,-0.76026666,0.42582777,-1.8484371,-0.0037437454,-0.11523127,-4.990802,-0.21252549,1.7297246,-0.11160171,-0.13383749,1.59225,-1.5377712,0.8620361,0.053333938,1.5040805,-0.1937651,0.51296055,0.16205914,-1.6316417,1.756331,0.7554947,0.2714333,-1.0738556,1.3521914,-0.16610849,1.9563029,-1.9167614
Access and type of sanitation facility,-4.136859,1.3943467,-2.4598181,-2.0518143,2.1832707,0.39325213,-8.358214,-3.304649,-5.090335,0.3424076,5.164187,7.003681,0.17171511,-1.6291232,2.0664158,-1.6778321,3.62991,1.207062,-3.1292543,-5.056337,-3.116859,2.0409873,3.3390937,2.559159,0.52498627,0.7173546,2.8577175,2.238504,-0.10811415,1.1819265,-1.3044058,-2.4967935,0.74392843,-0.56394875,-4.1069894,1.3522329,0.0019320324,-0.67597765,0.7516918,-1.705426,0.27142978,0.039610505,-0.81662226,0.27050182,-1.4968945,-1.874051,2.216594,-0.28789473,-0.032506943,-0.5167279,-0.6301632,-2.2705367
Affordable and sustainable access to services and utilities,-0.089132935,3.0259051,-8.868169,5.6820335,2.101049,6.0197525,-3.1909332,1.7252038,2.5224187,6.550819,-7.6821585,2.800433,-4.43677,-1.3627384,-2.9156902,-1.0818566,0.12506016,-1.3501478,1.7471782,-1.4913762,-0.8862713,1.8950486,0.54038376,1.2275873,-2.4231012,-1.3946741,0.7474554,-0.17188406,-0.7652956,1.0270311,-3.8300805,0.7048874,3.7141755,-1.2165551,-1.6184679,2.2694955,0.45705608,1.5680234,-0.7385739,0.55911237,-0.031068653,1.707934,0.4493012,1.16363,1.2979965,-1.0293169,0.62520844,-3.1742592,-1.8557668,-2.236551,-2.686146,2.0403278
Using smart solutions to enhance accessibility to services and amenities,2.9101672,-9.603919,-9.758748,0.2991878,3.8700318,0.053791523,-6.480209,0.85792685,0.13080353,6.192926,-2.3761818,4.5950465,1.4476653,0.64809644,1.122592,1.6746302,1.3628632,-2.0946026,0.33487177,4.3168907,-4.8906903,2.578575,3.7732594,1.0147542,-1.6400635,0.4723154,1.6165497,-1.5658889,-1.106499,3.0132942,-2.4616616,-0.5144061,1.9187115,-1.2819682,-0.040424913,0.34148735,0.22337097,-1.6457946,-1.0561702,1.107481,0.13118678,1.7150055,1.2822226,-0.05050838,3.350261,-0.49475622,0.38831598,-0.5460917,-0.16647662,0.026208669,0.036178812,-0.72978354
"Disaster risk planning, monitoring, and management",7.601288,1.1351787,-8.0448265,0.68222433,6.612219,1.8261535,3.446741,-2.8666844,-1.5143383,-4.0362864,2.276685,1.4454685,2.7074237,4.337963,-4.2730136,-1.2434106,-2.7627723,-3.7996802,1.1384356,3.0751386,0.06395334,-1.8441164,1.5230905,0.23632678,1.1435406,-1.1076226,-3.2644653,1.3761886,5.011286,1.3636024,3.003921,2.8129504,-0.1976263,1.0663631,1.4122036,-1.540638,-0.32391235,1.7620947,2.9271643,-0.3801269,2.175045,-1.4693211,-2.2134392,1.0499718,-4.0743756,-1.7994082,-0.60212785,3.6240482,1.5943887,0.5665803,-0.34532267,-3.2213902
Use of ICT for disaster prevention and prediction and control and emergency response,3.4086516,2.3864605,-5.646644,-0.7851471,10.102609,2.3224125,7.313282,-4.140807,4.333529,-3.0299058,-1.530498,-2.2267346,1.6156448,-0.6417487,1.9585133,0.6989623,-1.1273584,-2.201484,2.5028782,0.11141443,-3.9664283,-2.2190037,3.220704,-2.4173155,2.6921065,-2.156701,-4.360614,1.7356222,2.1115615,-0.22340648,2.251591,-3.0612154,-0.8403438,0.48066005,-3.6061397,0.6898175,-4.890411,-0.058145344,-0.80893445,3.6681972,2.5467231,-1.5768001,-1.489864,1.0006353,-2.8962655,-3.0083098,3.5008461,3.5584512,-0.49858952,1.9758208,1.7260348,-3.2790017
Forest area per capita,0.6349303,5.5033264,10.527576,-2.413331,2.9413357,-4.1503406,5.086693,3.4775558,3.4143143,-2.240903,-7.8879476,-0.014460102,-3.713723,2.0405211,-0.42533356,1.4120362,0.20513812,1.8316394,3.271227,0.5103315,0.4814279,2.358377,0.4211736,-2.8810358,-1.6859887,-1.4088924,-2.9589367,-1.8086891,1.0685536,-2.4150784,-1.8053875,2.6905348,1.6728714,3.0272515,2.8533986,-1.4862747,0.27019107,1.0862522,-2.197456,-1.556562,-0.019934341,-0.20012374,1.1113592,1.8362932,2.1263804,-0.7162844,0.983563,0.22639796,-0.04567435,1.3431088,-2.1140544,-1.0836059
Conservation of agricultural lands,9.2261,4.73925,-0.52664363,1.947773,1.8277915,-5.059284,8.648661,3.7498014,-2.5533288,-6.8482027,-6.3655176,3.1290781,0.038370997,0.6284923,-1.7473898,-0.6762818,-3.979146,1.059725,-1.8198507,-3.2477155,0.043190718,4.478174,-1.2380905,3.3506386,0.0113632465,-1.6284097,4.5975676,0.29021358,1.5387584,0.73783743,2.366722,-2.9646904,-2.8943317,-0.6177085,-2.3654819,-0.28894284,-1.692414,-0.7625763,1.310015,1.2324297,-0.7299275,1.5749269,0.6944381,-0.86156857,-2.06722,2.6996527,0.60053825,-1.5516616,-0.3651674,-2.173787,3.8141894,-0.6903995
Development and conservation of water bodies,7.6950827,7.627961,-7.7662926,-6.39874,-0.52662253,0.6824456,-1.5539526,-5.9722643,-4.415098,-1.0196056,-0.13095689,3.6775048,0.67985195,4.495949,1.3814088,-2.5336635,2.3646276,-2.8641233,-0.56156766,-3.546825,3.2989216,2.385415,-1.3408977,-1.1972305,-0.88958687,1.1919143,-1.1690344,-0.48328918,-1.7585397,-1.9016538,-1.3254645,0.13843527,-2.3611999,0.6341651,0.084022805,-0.48321483,-0.19020826,1.0783317,0.5877657,2.3314924,1.8291082,1.7847513,-0.0686533,1.9953744,-0.05741918,0.6505308,1.1707494,-0.59467244,-0.8318435,1.4070165,0.784315,-0.9601317
Landscape and vegetation cover,4.9011173,8.754423,9.124836,-3.5344448,3.263254,-5.416627,-0.3217088,5.8694234,2.0496135,-6.397577,-6.8493094,-0.9346181,-1.0319973,2.4231522,-2.2633078,0.32776654,0.35877714,-0.50827336,0.8275459,-0.6429436,-0.38971767,1.05069,2.5760078,2.61859,-0.7010595,-1.2889411,-1.6815355,-2.5695903,1.1351297,2.0456595,-0.35057104,0.16977715,-0.08912096,0.24533647,0.50664914,1.6455696,-1.8550091,-0.7643777,1.6820365,-2.4754138,-0.32822642,-0.2079702,-0.45527336,-0.75873184,-0.51080513,-0.86383927,0.3026619,-0.98621273,1.5891709,0.46391144,-1.4086891,0.5627397
Site micro-climate,5.8613405,0.3243568,6.6070395,-1.2481146,-0.18694076,2.235789,1.3756266,-0.013030715,1.0122193,-0.31508988,4.1128955,0.9827392,4.0527678,-2.8744895,1.5675569,-5.9101963,3.4175575,-0.18572822,-3.2004182,0.96563166,0.28810257,-4.4649525,3.3663192,1.1464641,-1.875977,-1.2814547,0.7478814,0.7119246,-2.4607837,0.29323244,0.28143668,-0.3976165,0.33716795,-1.3505571,-4.0307055,0.94316477,1.3123212,4.5462685,-1.7664542,-2.9963152,1.215767,-1.8597424,-0.56987154,0.011553496,0.8634843,0.7474088,-2.595407,1.7745521,-0.9810949,-0.43739682,1.5548921,-1.9450148
Water conservation,2.3403206,12.6865425,-10.098006,-2.4350538,1.2622182,0.78908217,1.3707218,-8.646069,-3.6167862,-1.9693203,-3.7592626,2.0031824,0.70977604,2.07691,-1.0224371,-1.9922881,1.1544735,-1.1685251,-1.9977808,-0.49504185,-0.64743894,0.7566836,-1.0290619,-0.18021676,-2.817405,-3.716625,1.732383,-0.32673973,-0.48581487,-2.1184034,-0.8533428,-3.2143466,-2.821249,-3.0691438,0.024825811,-1.3300691,2.3161454,-0.059497267,-1.553901,1.2046965,1.2782209,2.0623236,0.8023803,-1.1697489,2.5134468,1.5046667,0.4167512,-2.9510229,-2.2037683,0.41559693,2.3055625,0.5382928
"Percentage of park management staff who possess qualifications related to ecology, environmental management, landscape architecture, or other park management-related disciplines",8.396643,-5.562902,8.633919,-7.6043663,0.42767704,-0.6857426,1.4736876,4.6534123,1.9804778,-1.9677736,0.5762866,6.7660913,-0.72464645,3.6860933,4.220886,-2.6627445,-0.6486885,3.5067468,5.1656384,2.4164948,0.7389922,0.6172044,-2.5568109,1.2511234,-2.197544,-0.86918986,3.5794165,-2.7912214,-0.57544005,-2.0627506,-1.125777,2.0403626,1.5885881,-4.7297497,0.3203877,2.0857143,-0.8999652,1.3992959,-1.4043592,-0.398174,0.54553896,-2.701691,-0.39998892,0.099039614,-0.99901015,-0.09536484,1.2727678,-1.2251811,-0.98358357,-0.1693432,-0.20628358,1.4581978
Number and population of typical faunal and floral species,3.4083104,4.8050117,9.091278,-8.32081,-0.022430614,-0.84711605,0.2462366,-1.9681492,0.46846628,-0.5036946,-1.6140826,5.45445,2.9935093,-0.22641096,2.4032755,-1.9775282,1.3205357,3.1934304,0.5028875,-1.3412522,1.560178,-0.36314577,2.2862816,-0.30489925,-3.402223,-4.0669713,1.0621567,4.4075284,0.3921702,6.6256633,-1.2033577,1.8024888,-0.9820241,-2.973896,4.383351,3.7634854,0.39446872,3.1456263,3.1123374,0.603301,-1.808166,-2.6535804,-2.243873,-0.2364555,0.98975295,-3.4215884,2.999072,2.1181607,0.65375465,1.1417286,2.3390667,2.0234153
Biodiversity and Habitat Conservation/Restoration,15.499397,1.660347,-0.79636675,-5.9898853,-4.135545,-3.7130387,3.4365256,1.0333093,0.37943563,-2.7577791,-1.6233758,6.0819516,-2.6165566,2.6444464,0.4243324,3.4121013,1.937027,-0.70742357,2.1561208,-0.42852846,2.635468,3.2010863,1.4285085,-2.0148764,-3.4319153,-0.8666707,2.4961636,1.9152195,1.2178091,-1.8866702,-2.0450702,0.612819,-1.0734826,-1.7677993,-0.80838436,0.5492343,0.40938902,-0.14731665,0.21060182,1.4644289,2.947184,-1.0171797,1.0974988,0.3179821,0.1901688,-0.042038918,1.0700613,0.2898246,0.9161636,0.028759927,0.1480284,-3.0735955
Wetlands & Water Body Preservation,7.0759306,13.455586,-1.7916152,-2.4344203,2.26243,-1.6575313,3.1154475,-5.9772687,-6.839878,-2.7868996,-2.7310963,0.98136127,-1.1315358,6.1964865,3.3395147,-0.29422635,1.8113894,-3.4529302,-0.37117523,-2.3401608,0.30874047,1.4449418,-1.246352,-0.677248,-2.6132808,-0.2735619,-4.207404,-0.93269753,-2.4971242,-1.4754474,-0.96393275,3.2908998,-1.392895,1.337531,0.07764764,-0.9862678,-1.2432917,0.43474942,1.5507007,-0.5617993,-0.18725584,2.4217362,-0.1311752,0.7771516,-0.047310263,0.95578766,1.9218282,-0.7596465,-0.5279608,1.8736489,0.9842066,-1.8383117
Ecological Preservation,12.781125,7.665988,-0.759126,-3.7463093,-0.7299949,-4.1878715,0.13443053,-0.5387783,1.9226657,-2.167105,2.458321,-1.06848,-4.4537005,-0.88546497,-3.679193,-1.580852,3.373136,2.056187,3.0692558,-2.6997578,1.1419544,1.4831054,-2.6500938,-1.1134706,0.5924109,-1.5281613,2.4633596,0.9104794,-2.6617568,-0.32679278,-3.941605,-1.111402,-3.7104244,-1.4580116,0.1133365,-2.6801605,1.0443587,0.21788824,0.6697374,0.19879916,1.0403831,3.0637763,-0.54261154,-0.46819428,0.112426236,2.1411197,0.89674747,2.4436123,1.0962945,2.3897395,-0.7202971,-0.038839027
Ecology Strategy,5.9261894,3.2872972,-4.479584,-3.3442826,-2.1425917,-6.0054955,-1.2428191,1.2855814,7.665086,-3.9058754,4.475303,2.6919641,-1.073295,-2.8668942,-3.1884737,-4.49477,4.128448,3.479267,0.8234529,-0.51207006,-1.1885741,-1.127085,-1.439357,-3.1349092,3.0615396,0.746756,4.6593857,0.84898025,-1.852675,1.3809443,-0.84277123,1.890509,-2.0921319,-1.933156,2.786221,-3.5053766,2.8978443,1.6533594,2.2465775,1.0965124,0.6038121,1.9579289,-0.83539295,-2.2981567,-0.46727452,2.483018,-0.099944055,3.9481921,0.5866533,3.6538687,-0.29525313,0.46699318
Ecological Enhancement,6.5143023,1.2811778,-4.2613173,-3.010456,0.3354605,-1.990392,-5.113937,3.5351985,7.951622,3.243063,-0.6671014,1.325213,1.1191368,-1.2630721,-2.5042577,1.1726032,3.6742058,2.1542406,1.4857453,0.03518179,2.3138952,2.297241,-1.4492557,-2.657096,0.8363485,0.982512,1.1881,-0.085009575,-1.8290468,-0.40945342,-3.5904207,-0.55427134,-1.0786166,-1.6815108,2.4188268,-1.8521714,1.2599537,2.110078,1.0990934,1.3515315,0.98590434,2.39384,-1.0863347,-2.2016618,-1.1352103,0.7989158,-0.73151946,1.5466843,0.7356356,2.4053202,1.5177305,-1.8872516
Environmental Management System,5.7300434,5.4987073,-2.4683993,-3.7218652,-0.36732692,-4.814177,-4.5804133,0.59722066,3.3532162,-2.6005375,4.056615,0.73440534,-0.45047122,2.0539434,-4.545953,-7.69925,2.4340093,5.456633,-0.107675195,2.904724,2.8237073,-3.9563966,-0.42647117,1.2104833,-2.6290693,1.4691367,-0.24064493,3.440298,-0.115827024,-0.88479733,0.34674796,1.2076968,0.25688016,-3.068842,-0.6760648,-0.42014015,-0.7047231,-1.1186674,-0.1895534,-1.182492,2.081988,-1.4404879,0.3909271,-1.4227412,0.53829676,-0.4079903,-0.19668481,0.91765344,-0.9134562,1.8645258,-1.6738595,-1.5693697
Budget Allocated to Biodiversity,1.60442,3.211149,1.1604648,-2.9751308,-4.1288986,6.1325297,2.0448582,6.6391993,3.6975262,4.111788,-4.277478,4.5421867,-2.8696184,3.0840747,-0.09847188,-0.85464644,3.810082,-2.3953943,-0.20239829,-3.283719,6.2630115,-0.53645766,1.1276228,-0.28276113,-1.5085472,-1.9239066,1.2603729,4.6335626,4.591367,0.049319208,-1.4214513,0.21414883,-1.6923325,-0.70059943,-0.45411938,-0.22977342,3.5003536,-0.74941003,4.8986187,3.6947622,-3.299672,0.13878906,-2.2905755,1.7317381,-1.8405036,-4.0507636,2.144605,-0.06175284,2.6517842,0.6591347,1.2170296,1.2066834
Number of Biodiversity Projects Implemented by the City Annually,2.12725,-4.79171,6.133987,-4.2486954,-1.6190106,3.6062608,-3.8502455,-0.9804484,2.3718417,-3.0833173,-0.15755491,6.0713716,0.713954,0.8733986,0.9049748,-0.6129768,-0.8460501,0.5103854,0.99722457,-0.18108179,3.924304,3.1581573,-0.59859884,-5.3843265,-2.2287273,0.7952423,3.2245991,3.2823002,3.6589813,-3.1295934,-0.24433933,1.736813,-2.720662,-2.9220278,2.3300226,2.6862936,1.5389861,0.27111253,4.074294,1.3177243,-2.0486226,2.92857,-1.2789996,1.0216789,-2.2290123,-1.8200123,-0.90410644,0.97594213,3.2767944,-0.64259684,1.9766395,1.0657315
