,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
Access to public transport,Accessibility,Community participation in process and type of participation,"Number of view axes, panoramas",Process transparency,Viewpoints,"0,54","0,29","0,28","0,27","0,27",general
Access to public transportation,Accessibility,Community participation in process and type of participation,"Number of view axes, panoramas",Viewpoints,Process transparency,"0,54","0,3","0,28","0,27","0,27",general
Access to sports facilities,"Cultural, leisure and sport facilities, programs, courses",Accessibility,Places of events,Type of information given to visitors before and during site visits,"Places of socialisation (parks, benches, etc.)","0,65","0,44","0,43","0,39","0,36",general
Access to the farmers' market,Accessibility,Contiguity to Farmlands,Revenues from tourism (% farm income),Type of information given to visitors before and during site visits,"Commercial activities linked to Crats, Artisans, Craftsmanship,","0,39","0,39","0,34","0,32","0,31",general
Access to wireless internet in the park,Parkland,"Places of socialisation (parks, benches, etc.)",Areas of importance for landscape-related recreational use or tourism,"Cultural, leisure and sport facilities, programs, courses",Free time & social interaction,"0,49","0,45","0,39","0,39","0,34",general
Accessibility and mobility,Accessibility,Adjustment for disabled,Process transparency,Porosity,Viewpoints,"0,8","0,4","0,37","0,36","0,36",general
Accessibility for disadvantaged,Accessibility,Adjustment for disabled,Number of cultural volunteers,Social bonds,Number of citizens initiatives,"0,74","0,51","0,36","0,26","0,26",general
Accessibility in public spaces,Accessibility,Increase cultural exchange,Viewpoints,Free time & social interaction,No. of visitors and tourists,"0,74","0,48","0,47","0,41","0,4",general
Accessibility of public spaces,Accessibility,Opportunities for ocean viewing,Attractive streetscape,Increase cultural exchange,Viewpoints,"0,57","0,52","0,47","0,46","0,45",general
Accessibility to green spaces,Urban green space,Diversity of landscape,Enhancement urban green,Connectivity of landscapes,Areas of importance for landscape-related recreational use or tourism,"0,56","0,47","0,47","0,45","0,45",general
Accidents rate in public transport,Number and visibility of disturbing elements and objects,Number of cultural sites affected by natural disasters and urban expansion,Pressure of parking,"Impairments through visual, acoustic or olfactory disturbances",Funds for the improvement of the physical urban environment,"0,46","0,44","0,36","0,27","0,27",general
Accumulated ozone concentration in excess 70 μg/m3,Rareness (% of area in the study area),"Impairments through visual, acoustic or olfactory disturbances",Large solitary oaks in grazing or arable land,Acres of open space,Nostalgia,"0,38","0,38","0,36","0,34","0,33",general
Activity rate,Places of events,Effect on area revitalization/development,Implementation of activities in the area,Community participation in process and type of participation,Number of citizens initiatives,"0,42","0,39","0,38","0,34","0,33",general
Adaptable housing,Adjustment for disabled,Percentage of renovated buildings,Commodifcation,Castles,Change of man-made structures,"0,56","0,44","0,43","0,43","0,41",general
Adaptation for social inclusion,Adjustment for disabled,Social bonds,Community participation in process and type of participation,Social preferences,Free time & social interaction,"0,68","0,6","0,52","0,49","0,47",general
Adequacy,Commodifcation,Accessibility,Comfortable use,Spatial coherence,Size,"0,54","0,54","0,53","0,53","0,53",general
Adoption of telemedicine (remote diagnosis and treatment),Adjustment for disabled,Croft within the manor territory,Number of healing plants,Protection UNESCO sites,Scientific/educational landscapes,"0,39","0,31","0,31","0,28","0,27",general
Adult Health,State of the building,High architectural values,Size,Free time & social interaction,Acres of open space,"0,4","0,37","0,35","0,34","0,33",general
Affordability,Availability of cultural site maintenance fund and resource,Effect on Property Value,Therapeutic value,Commodifcation,Funds for building renovation,"0,57","0,46","0,45","0,45","0,45",general
Affordability of public transport,Community arts funding,Availability of cultural site maintenance fund and resource,Development of a public arts fund,Funds for the improvement of the physical urban environment,Funds for building renovation,"0,48","0,47","0,41","0,4","0,4",general
Affordable and sustainable access to services and utilities,Availability of cultural site maintenance fund and resource,Funds for building renovation,Therapeutic value,Community arts funding,Investments required for restoration of cultural property,"0,58","0,44","0,41","0,37","0,31",general
Affordable housing,Funds for building renovation,Commodifcation,Hotel architecture harmonized with environment,Therapeutic value,Availability of cultural site maintenance fund and resource,"0,47","0,39","0,38","0,37","0,35",general
Aggregation index of Green Space,Urban green space,Increased harmonization of landscapes,Permanent grassland indicator,Total hedgerow length,Spatial coherence,"0,45","0,44","0,41","0,4","0,36",general
Agricultural Production Acres and Value,Revenues from tourism (% farm income),Landscape value index,Contiguity to Farmlands,Effect on Property Value,Land lot sizes,"0,69","0,66","0,57","0,56","0,43",general
Air Quality and Noise Pollution,"Impairments through visual, acoustic or olfactory disturbances",Pollution of the façade with modern stylistics,Increase in the number of artists and arts,Number and visibility of disturbing elements and objects,Number of cultural sites affected by natural disasters and urban expansion,"0,58","0,35","0,29","0,29","0,28",general
Air quality,Cleanliness and Improvements,Viewscape quality,Wellness acoustic,View-leading elements,Degree of unobstructed view,"0,54","0,52","0,46","0,37","0,33",general
Air quality (no pollution),Cleanliness and Improvements,Wellness acoustic,Percent satisfied with cultural integrity/sense of security,Hotel architecture harmonized with environment,Sight line homogeneity,"0,63","0,53","0,46","0,42","0,42",general
Air quality improvement,Cleanliness and Improvements,Wellness acoustic,Enhancement of industrial,Viewscape quality,Efficiency of landscape management,"0,68","0,54","0,52","0,49","0,46",general
"Air quality index/ pollution concentration levels (SO2, PM 2.5. PM 10)","Impairments through visual, acoustic or olfactory disturbances",Pollution of the façade with modern stylistics,Crucifixes,L/T ratio,Statues (sacral/non sacral),"0,44","0,29","0,26","0,26","0,25",general
Alternate Fuel Use / Purchase,Local concept of sustainable use,Values,Regional products sales (% PDO label),Effect on Property Value,Memory/transformative value,"0,33","0,31","0,28","0,24","0,22",general
Ambient pollutants,"Impairments through visual, acoustic or olfactory disturbances",Spiritual/religious landscapes,Perceptions of marine associated spirituality,L/T ratio,Existence of fruit trees,"0,76","0,39","0,39","0,36","0,36",general
Amenities,Degree of unobstructed view,Viewpoints,AHB,Plastic Arts,Commodifcation,"0,56","0,51","0,45","0,44","0,44",general
Amount of land owned by the household,Land lot sizes,The age of land,Landscape value index,Acres of preserved land,Proximity to residential areas,"0,66","0,52","0,48","0,45","0,45",general
An employee spleen,"Workspaces of Artisans, Intellectuals & youth",Places of personality,Number of expert guides in interpretation,Dike,Institutional management of International fests or expert meetings,"0,35","0,34","0,31","0,29","0,29",general
Ancillary facilities,Archeological reserves,Commodifcation,Archaelogical sites,Arable field indicator,Cemetries,"0,43","0,37","0,35","0,33","0,3",general
Annual average concentration of NO2 (μg/m3),L/T ratio,Perceptions of marine associated spirituality,Dike,Percent of population participating in first salmon ceremony in past year,Frequency of sharing salmon legends annually,"0,5","0,42","0,4","0,37","0,34",general
Annual average concentration of PM10 (g/m3),Frequency of sharing salmon legends annually,Remains of periods,Trees Land Cover,L/T ratio,Percent of population participating in first salmon ceremony in past year,"0,4","0,4","0,39","0,36","0,34",general
Annual budget size of the city,Effect on Property Value,Community arts funding,Historic monument values,Development of a public arts fund,Funds for building renovation,"0,45","0,42","0,41","0,4","0,36",general
Annual energy consumption from renewable sources p. p,Arable field indicator,Number of products of denominated origin,Total hedgerow length,Traditional and environmental engineering,Viewsheds,"0,29","0,24","0,23","0,23","0,22",general
Applications for mobile devices,Number of citizens initiatives,Social preferences,No. of visitors and tourists,Patch size of areas of a topographic changes,Recreation (motorized/non-motorized),"0,44","0,4","0,37","0,34","0,31",general
Area Management,Sense of place landscapes,Place Identity,Effectiveness of landscape management,Effectiveness of planning in relation to the landscape,Implementation of activities in the area,"0,49","0,45","0,45","0,44","0,43",general
Area of green land in built-up area,Urban green space,Enhancement urban green,Trees Land Cover,Garden,Potential landscape quality index,"0,77","0,58","0,5","0,43","0,34",general
Area of green/blue space (per capita),Urban green space,Degree of unobstructed view,Acres of open space,Trees Land Cover,Enhancement urban green,"0,66","0,5","0,48","0,38","0,31",general
Area of parks & open space,Parkland,Areas of importance for landscape-related recreational use or tourism,Diversity of landscape,"Places of socialisation (parks, benches, etc.)",Potential landscape quality index,"0,75","0,67","0,58","0,55","0,52",general
Area of the park,Parkland,Areas of importance for landscape-related recreational use or tourism,"Places of socialisation (parks, benches, etc.)",Sense of place landscapes,natural and cultural landscapes and components of landscape with importance for natural and cultural heritage,"0,88","0,64","0,63","0,52","0,45",general
Areas of protected natural spaces,Protection UNESCO sites,Protection of culturally important species,Safeguarding the terraced landscape,Protection of the Archaeological Heritage,Number of protected designated sites,"0,77","0,67","0,65","0,61","0,56",general
Availability and penetration of e-learning and distance  education systems,Promotion and education in Past Identities programmes and spaces,Educational,Scientific/educational landscapes,Areas and objects of educational or scientific value,Number of cultural–educational programs.,"0,58","0,54","0,54","0,37","0,37",general
Availability and publication of data in an open format under open licenses,Opportunities for ocean viewing,Accessibility,Type of information given to visitors before and during site visits,Compliance with tourist guidelines,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,"0,47","0,46","0,44","0,43","0,41",general
Availability of ICT-infrastructure/ICT infrastructure,Commodifcation,Audiovisual and multimedia performances,Enhancement urban green,Linear elements indicator,Memory/transformative value,"0,26","0,26","0,25","0,23","0,21",general
"Availability of IT and digital infrastructure (Wi-fi networks, wireless hotspots, etc.)",Accessibility,"Cultural, leisure and sport facilities, programs, courses",Type and amount of training given to tourism employees,Adjustment for disabled,Social bonds,"0,42","0,35","0,25","0,21","0,21",general
"Availability of apps (parking, multi-modal transportation, car sharing, etc.)",Pressure of parking,Parking places in building surroundings,Accessibility,"Number of view axes, panoramas",No. of visitors and tourists,"0,5","0,38","0,34","0,33","0,29",general
"Availability of broadband internet and fiber-optic channels, etc.",Accessibility,Audiovisual and multimedia performances,"Cultural, leisure and sport facilities, programs, courses","Number of view axes, panoramas",Adjustment for disabled,"0,5","0,33","0,26","0,26","0,22",general
Availability of innovative facilities or equipment,Areas and objects of educational or scientific value,New identities programmes and spaces. Alternative forms of celebrating contemporary culture.,Change of man-made structures,Revitalization historic spaces,Number of man-made structures with a function,"0,46","0,45","0,44","0,43","0,42",general
Average Travel Timea,Linear elements indicator,Arable field indicator,Familiarity,Viewsheds,Spatial coherence,"0,57","0,42","0,41","0,37","0,37",general
Average area of living accommodation – m2/person,Proximity to residential areas,Percentage of renovated buildings,Museums,Commodifcation,Iinstitutional management on Creative Residencies,"0,56","0,38","0,33","0,31","0,3",general
Average disposable annual household income – EUR,Effect on Property Value,Landscape value index,Historic monument values,Proximity to residential areas,Distance from the centre of the old town zone,"0,42","0,33","0,33","0,26","0,25",general
Average number of interchanges per public transport trip,Pressure of parking,Type of information given to visitors before and during site visits,Parking places in building surroundings,No. of visitors and tourists,Conservation of facades,"0,43","0,4","0,37","0,31","0,27",general
Average salary of staff and employees,Effect on local business and jobs,Availability of cultural site maintenance fund and resource,Therapeutic value,Community arts funding,Funds for building renovation,"0,53","0,39","0,38","0,37","0,35",general
Average trip length,Linear elements indicator,Size,The age of land,Remains of periods,Familiarity,"0,48","0,46","0,37","0,37","0,36",general
Average trip length by trip purposea,Study trails,Compliance with tourist guidelines,Arable field indicator,Management type and frequency,Linear elements indicator,"0,36","0,35","0,34","0,32","0,32",general
Bicycle network,Spatial coherence,"Number of view axes, panoramas",Commodifcation,Linear elements indicator,Dike,"0,38","0,31","0,3","0,28","0,25",general
Bike lane & trail mileage per sq. mile,Study trails,Spaces rural pedestrian,UNESCO Monuments,"Cultural, leisure and sport facilities, programs, courses",Forest edge indicator,"0,41","0,38","0,29","0,24","0,23",general
Bike sharing density,Accessibility,Compliance with tourist guidelines,No. of visitors and tourists,Process transparency,Increase cultural exchange,"0,43","0,27","0,26","0,25","0,24",general
Bike sharing supply,Accessibility,Community arts funding,Process transparency,Commodifcation,Spatial coherence,"0,45","0,29","0,27","0,27","0,23",general
Bikeability,Accessibility,Spatial coherence,Degree of unobstructed view,Dike,Commodifcation,"0,35","0,32","0,3","0,26","0,26",general
Biodiversity,Places heterotopic,Scientific/educational landscapes,Plastic Arts,Objects as recreation attractions,"Number of view axes, panoramas","0,44","0,44","0,42","0,41","0,41",general
Biodiversity and Habitat Conservation/Restoration,Protection of culturally important species,natural and cultural landscapes and components of landscape with importance for natural and cultural heritage,Conservation of specific important habitats and cultural sites,Understand how heritage conservation works,Wildlife (used for viewing),"0,66","0,64","0,63","0,58","0,56",general
Budget Allocated to Biodiversity,Development of a public arts fund,Community arts funding,Availability of cultural site maintenance fund and resource,Revenues from tourism (% farm income),Funds for building renovation,"0,57","0,51","0,51","0,33","0,33",general
Budget distributed to different areas of administration,Community arts funding,Development of a public arts fund,Effect on Property Value,Availability of cultural site maintenance fund and resource,Therapeutic value,"0,49","0,47","0,45","0,42","0,37",general
Buffer zones,Conservation of facades,Distance from the centre of the old town zone,Protection UNESCO sites,Remains of periods,Linear elements indicator,"0,51","0,44","0,39","0,39","0,38",general
Building information modelling (BIM L2),The quality of man- made structures,Change of man-made structures,State of the building,Renovation and new constructions,Percentage of renovated buildings,"0,45","0,44","0,42","0,41","0,4",general
Built,Listed built elements,Building footprints,Renovation and new constructions,Percentage of renovated buildings,State of the building,"0,73","0,67","0,65","0,64","0,56",general
Bus stop density,Pressure of parking,Parking places in building surroundings,Dike,Spaces rural pedestrian,Protect hunting and trapping area,"0,53","0,37","0,35","0,33","0,29",general
Business with environmental certification,Effect on local business and jobs,Traditional and environmental engineering,Garden planning suitable with environment,Organizations listed on Councils Artist Register,Type and amount of training given to tourism employees,"0,56","0,44","0,33","0,32","0,3",general
CO2 EMISSIONS,"Impairments through visual, acoustic or olfactory disturbances",Pollution of the façade with modern stylistics,Commodifcation,AHB,Crucifixes,"0,44","0,36","0,35","0,34","0,31",general
CO2 factors (electricity and heat),Commodifcation,Crucifixes,Cemetries,Hotel architecture harmonized with environment,Pollution of the façade with modern stylistics,"0,43","0,42","0,31","0,29","0,27",general
Capacity of public transport,Accessibility,Occupied spaces,Spatial coherence,Pressure of parking,Critical distances in the network,"0,39","0,24","0,23","0,23","0,23",general
Car and bike sharing services,Accessibility,"Number of view axes, panoramas",Pressure of parking,Number of cultural volunteers,Community arts funding,"0,43","0,34","0,26","0,23","0,21",general
Car sharing demand,Pressure of parking,Accessibility,Revenues from tourism (% farm income),Values,AHB,"0,47","0,45","0,31","0,3","0,28",general
Car sharing supply,Accessibility,Pressure of parking,AHB,Churches,Castles,"0,45","0,36","0,35","0,26","0,25",general
Change in Number of Native Species,"Use of traditional or community knowledge of species occurrence, frequency and distribution",Percentage of Aboriginal people speaking traditional languages,Variety of flowering plants,Tree suitable for indigenous carving,Diversity of landscape,"0,68","0,6","0,59","0,59","0,56",general
Change ratio of young female population,Comparability of new construction with local vernacular,Percent of population participating in first salmon ceremony in past year,Monitor new knowledge and changes in traditional use patterns,L/T ratio,Change in tradition and customs,"0,57","0,47","0,46","0,42","0,39",general
Child poverty,Number and visibility of disturbing elements and objects,Educational,Churches,Number of cultural volunteers,Diminish the negative visual impacts of forestry operation,"0,35","0,34","0,31","0,31","0,26",general
Childcare facilities,Educational,Chapels,Churches,Promotion and education in Past Identities programmes and spaces,"Workspaces of Artisans, Intellectuals & youth","0,46","0,4","0,4","0,36","0,31",general
Children and young people from 4 to 17years old at school,Educational,Promotion and education in Past Identities programmes and spaces,"Workspaces of Artisans, Intellectuals & youth",Number of cultural–educational programs.,Scientific/educational landscapes,"0,68","0,52","0,48","0,39","0,38",general
Children play areas,"Workspaces of Artisans, Intellectuals & youth",Objects as recreation attractions,Number and visibility of disturbing elements and objects,Parkland,Educational,"0,37","0,36","0,34","0,34","0,33",general
Children's Health,Educational,Promotion and education in Past Identities programmes and spaces,Number and visibility of disturbing elements and objects,Churches,Number of healing plants,"0,49","0,36","0,34","0,32","0,26",general
Citizen education campaigns,Educational,Promotion and education in Past Identities programmes and spaces,Number of cultural–educational programs.,Number of citizens initiatives,Number of cultural volunteers,"0,65","0,5","0,46","0,42","0,42",general
"Citizens participation in Health, safety and enivironmental public programs and meetings",Community participation in process and type of participation,Type of information given to visitors before and during site visits,Understand the culture and society,Number of citizens initiatives,"Places of socialisation (parks, benches, etc.)","0,57","0,49","0,34","0,33","0,33",general
"Citizens representatives in Health, safety and enivironmental affairs",Proximity to residential areas,Respect for residents life-style,Protection UNESCO sites,Safeguarding the terraced landscape,Number of protected designated sites,"0,36","0,35","0,31","0,29","0,28",general
"Citizens satisfaction of municipal Health, safety and enivironmental services",Percent satisfied with cultural integrity/sense of security,Satisfaction living/working in heritage area,Level of satisfaction with the visit to cultural sites of the destination,Cleanliness and Improvements,Hotel architecture harmonized with environment,"0,54","0,51","0,47","0,43","0,38",general
City committed to fight against climate change (synthetic index 0–100),Percent of population participating in first salmon ceremony in past year,Number of citizens initiatives,Spiritual/religious landscapes,Pressure on cultural heritage,Statues (sacral/non sacral),"0,31","0,23","0,23","0,2","0,2",general
City council of culture and historical heritage,Cultural historical building,"Performing arts, national monuments, museums",Cultural/historical events,Historical/cultural heritage,Cultural historical land use type,"0,71","0,71","0,71","0,7","0,63",general
City internationalization activities,Attractive streetscape,Funds for the improvement of the physical urban environment,Creative hubs and meeting points,Opportunities for ocean viewing,Number of cultural sites affected by natural disasters and urban expansion,"0,44","0,43","0,41","0,39","0,39",general
City participating in Mayors Adapt initiative,Consult with cultural owners to modify operations such that they are acceptable,Number of citizens initiatives,Adjustment for disabled,Creative hubs and meeting points,Comparability of new construction with local vernacular,"0,5","0,42","0,41","0,41","0,4",general
"City's Employment / UNEmployment Rate, Measures to Combat Unployment",Effect on local business and jobs,Parking places in building surroundings,Organizations listed on Councils Artist Register,Pressure of parking,Type and amount of training given to tourism employees,"0,51","0,4","0,36","0,35","0,33",general
Climate Regulation: Carbon Storage and Cooling Effect of Vegetation,Forest edge indicator,Plan that does not spoil natural and historical environment,Composite tree risk index,Diminish the negative visual impacts of forestry operation,Tree suitable for indigenous carving,"0,54","0,52","0,52","0,51","0,48",general
Closeness to nature,Increased harmonization of landscapes,natural and cultural landscapes and components of landscape with importance for natural and cultural heritage,Connectivity of landscapes,Biorich trees indicator,Aesthetic/scenic landscapes,"0,45","0,44","0,43","0,43","0,39",general
Comercial land use,Landscape value index,Effect on Property Value,Land lot sizes,Revenues from tourism (% farm income),Regional products sales (% PDO label),"0,62","0,51","0,45","0,43","0,38",general
Community Energy Strategy,Garden planning suitable with environment,Effect on area revitalization/development,Traditional and environmental engineering,Local concept of sustainable use,Efficiency of planning in relation to the landscape,"0,45","0,41","0,4","0,38","0,34",general
Community Strategies for Passive Cooling and Solar,Protection UNESCO sites,Plan that does not spoil natural and historical environment,Safeguarding the terraced landscape,Diminish the negative visual impacts of forestry operation,Perceptions of marine associated spirituality,"0,38","0,32","0,28","0,26","0,24",general
Community attachment,Social bonds,Familiarity,Respect for residents traditional culture,Proximity to residential areas,AHB,"0,65","0,5","0,41","0,39","0,36",general
Community care,Churches,Social bonds,Number of cultural volunteers,Respect for residents traditional culture,Adjustment for disabled,"0,37","0,36","0,34","0,33","0,29",general
"Community safety and crime rate (e.g. no. of crimes per 100,000 inhabitants)",Percent satisfied with cultural integrity/sense of security,Safeguarding the terraced landscape,Number of protected designated sites,Crucifixes,Proximity to residential areas,"0,41","0,38","0,33","0,33","0,31",general
Commuter mode share,Spatial coherence,Accessibility,Linear elements indicator,"Number of view axes, panoramas",Process transparency,"0,31","0,29","0,27","0,27","0,26",general
Compact Development,Commodifcation,Sight line homogeneity,Contiguity to Farmlands,Comparability of new construction with local vernacular,"Commercial activities linked to Crats, Artisans, Craftsmanship,","0,37","0,32","0,32","0,31","0,3",general
Compost collection,Nostalgia,Archeological reserves,Commodifcation,"Vinehouse, cave",Cemetries,"0,36","0,32","0,31","0,29","0,29",general
"Computer, cell phone, microwave and DVD / VCR",Audiovisual and multimedia performances,Recreation (motorized/non-motorized),Crucifixes,Number of man-made structures with a function,Statues (sacral/non sacral),"0,43","0,39","0,3","0,29","0,28",general
Concentration of PM10 particles in residential areas p. year,Frequency of sharing salmon legends annually,Loss of landscape elements and character (tangible - intangible),Remains of periods,L/T ratio,Retention of local customs and language,"0,41","0,39","0,32","0,31","0,3",general
Connectivity Measures or Ecological Networks to Counter Fragmentation,Critical distances in the network,Effectiveness of planning in relation to the landscape,Efficiency of planning in relation to the landscape,Creative hubs and meeting points,Protection of culturally important species,"0,44","0,4","0,39","0,37","0,35",general
Conservation of agricultural lands,Contiguity to Farmlands,Permanent grassland indicator,Safeguarding the terraced landscape,Acres of preserved land,Protect hunting and trapping area,"0,77","0,65","0,65","0,63","0,56",general
Conservation of buildings,Listed built elements,Conservation of facades,Number of protected designated sites,Building footprints,Safeguarding the terraced landscape,"0,56","0,49","0,48","0,48","0,48",general
Construction Plan,Renovation and new constructions,Building footprints,Funds for building renovation,The quality of man- made structures,Implementation of activities in the area,"0,65","0,62","0,59","0,58","0,57",general
Construction Waste Management,Funds for building renovation,Therapeutic value,Building footprints,Creative Uses for Old Buildings,Historic monument values,"0,39","0,27","0,27","0,26","0,25",general
Consultation and Engagement,Community participation in process and type of participation,Process transparency,Type of information given to visitors before and during site visits,Creative hubs and meeting points,Monitor new knowledge and changes in traditional use patterns,"0,48","0,48","0,47","0,45","0,43",general
Consumption,Values,Size,Commodifcation,Crucifixes,Porosity,"0,31","0,28","0,28","0,27","0,26",general
"Consumption of energy carriers (electricity, heat, gas and liquid fuels)",Audiovisual and multimedia performances,Number of products of denominated origin,Recreation (motorized/non-motorized),Regional products sales (% PDO label),"Impairments through visual, acoustic or olfactory disturbances","0,28","0,28","0,25","0,25","0,24",general
"Contractors Health, safety and enivironmental education",Safeguarding the terraced landscape,Areas and objects of educational or scientific value,Percent satisfied with cultural integrity/sense of security,Protection UNESCO sites,Satisfaction living/working in heritage area,"0,37","0,35","0,33","0,27","0,27",general
"Contractors Health, safety and enivironmental pre-qualification",Hotel architecture harmonized with environment,Events successfully implemented and evaluated,Percent satisfied with cultural integrity/sense of security,Satisfaction living/working in heritage area,The quality of man- made structures,"0,41","0,39","0,38","0,38","0,36",general
Cost of living p.p. year,Effect on Property Value,Revenues from tourism (% farm income),Historic monument values,Values,Regional products sales (% PDO label),"0,62","0,46","0,38","0,35","0,34",general
Crime Prevention,Safeguarding the terraced landscape,Protect hunting and trapping area,Protection of culturally important species,Plan that does not spoil natural and historical environment,Protection UNESCO sites,"0,59","0,53","0,5","0,45","0,45",general
Crime Rate,Number and visibility of disturbing elements and objects,Diminish the negative visual impacts of forestry operation,Attractive streetscape,Porosity,Pollution of the façade with modern stylistics,"0,35","0,27","0,24","0,23","0,21",general
"Crime rate per 100,000 inhabitants.",Statues (sacral/non sacral),Crucifixes,Revenues from tourism (% farm income),Percentage of renovated buildings,Percent of population participating in first salmon ceremony in past year,"0,39","0,38","0,33","0,31","0,31",general
Cross-city engagements and collaborations for knowledge/experience exchange,Increase cultural exchange,Number of citizens initiatives,Free time & social interaction,Community participation in process and type of participation,Creative hubs and meeting points,"0,61","0,46","0,46","0,45","0,43",general
Cultural Facilities,Cultural activities and resources,Coordination of cultural events,Participate cultural activities,Cultural historical building,Cultural environment,"0,81","0,8","0,79","0,76","0,75",general
"Cultural Infrastructure (Attractions, Sporting Infrastructure, etc.)",Promotion and cultural events,Number of events to popularize cultural heritage,"Performing arts, national monuments, museums","Cultural, leisure and sport facilities, programs, courses",Coordination of cultural events,"0,75","0,73","0,7","0,68","0,67",general
"Cultural centers, houses, and cultural spaces",Coordination of cultural events,Cultural/historical events,"Performing arts, national monuments, museums",Cultural historical building,Number of events to popularize cultural heritage,"0,73","0,73","0,7","0,69","0,67",general
Cycling facilities,Research  centers,"Cultural, leisure and sport facilities, programs, courses",Commodifcation,Spatial coherence,Structures: governance of cultural ecosystem services indicator,"0,39","0,33","0,29","0,27","0,27",general
Cycling infrastructure options and facilities,"Cultural, leisure and sport facilities, programs, courses",Accessibility,Adjustment for disabled,Creative hubs and meeting points,Funds for the improvement of the physical urban environment,"0,48","0,31","0,29","0,29","0,29",general
DEMONSTRABLE EXPERIENCE IN THE SIMILAR PROJECTS,Events successfully implemented and evaluated,Satisfaction living/working in heritage area,Number of officially designated sites and its management,Listed built elements,Ensure the quality of the traditional resource use activities,"0,77","0,57","0,47","0,45","0,44",general
Daily water consumption p.p. year,Maintaining traditional irrigation system,Frequency of sharing salmon legends annually,Perceptions of marine associated spirituality,Percent of population participating in first salmon ceremony in past year,Opportunities for ocean viewing,"0,43","0,34","0,29","0,29","0,25",general
Daylight availability,Degree of unobstructed view,View-leading elements,Cleanliness and Improvements,Process transparency,Viewpoints,"0,72","0,58","0,48","0,47","0,45",general
Density,Size,Occupied spaces,No. of visitors and tourists,State of the building,Number and visibility of disturbing elements and objects,"0,52","0,39","0,34","0,3","0,29",general
Density of trees within the park,Trees Land Cover,Composite tree risk index,Forest edge indicator,Existence of fruit trees,Parkland,"0,83","0,64","0,64","0,61","0,59",general
Density of urban population,Number of cultural sites affected by natural disasters and urban expansion,Proximity to residential areas,Urban green space,Number of citizens initiatives,State of the building,"0,42","0,39","0,38","0,36","0,31",general
Density population,Size,Proximity to residential areas,Increase cultural exchange,State of the building,No. of visitors and tourists,"0,39","0,37","0,34","0,3","0,3",general
Dependence on the municipal budget,Community arts funding,Development of a public arts fund,Valuation of local culture,Funds for the improvement of the physical urban environment,Effect on local business and jobs,"0,55","0,44","0,41","0,41","0,36",general
Design Review,Clear strategy,Implementation of activities in the area,Building footprints,Creative hubs and meeting points,Type of information given to visitors before and during site visits,"0,63","0,54","0,49","0,48","0,46",general
